"reg1","vote16","meeting","moneyorg","protest","online","persuade","button","moneycand","argument","particip_none","particip_count","vote20jb","apppres7","frnpres7","immpres7","econpres7","econnow","finworry","confecon","hlthcare1","hlthcare2","experts","science","exphelp","excessive","socmed_1","socmed_2","socmed_3","socmed_4","socmed_5","socmed_6","socmed_7","socmed_8","socmed_9","twitter1","racegr","sex","educ","income","birthyr","covidpres7","healthcarepres7","covid1","covid2","mis_covid1","conf_covid1","mis_covid2","conf_covid2"
1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,5,3,2,2,2,4,2,3,3,3,3,1,0,1,0,0,1,1,0,0,66,"White",2,4,10,1992,1,77,5,2,2,3,2,5
1,1,0,0,0,1,0,0,0,1,0,2,1,2,2,1,2,2,2,2,3,2,4,2,3,3,1,0,0,0,1,1,0,0,0,66,"White",2,4,7,1959,1,77,4,3,2,4,2,4
4,4,1,0,0,1,0,0,0,1,0,3,4,7,7,7,7,5,5,5,3,4,4,4,4,3,1,0,0,0,1,0,0,0,0,66,"Hispanic",1,5,10,1974,7,77,3,2,2,3,2,4
1,1,0,0,0,1,0,0,0,0,0,1,1,2,3,1,2,5,4,3,3,5,4,4,5,2,1,1,0,0,1,0,0,0,0,7,"White",2,2,1,1954,2,77,3,3,2,1,2,2
1,2,0,0,0,0,0,0,0,0,1,0,2,7,6,7,6,5,4,4,6,3,4,4,3,2,1,0,0,0,1,0,0,0,0,66,"Black",1,3,11,1966,6,77,3,3,2,3,2,4
3,4,0,0,0,1,0,0,0,1,0,2,1,4,4,3,3,4,2,3,1,2,4,4,4,2,1,0,0,1,1,0,0,0,0,66,"Hispanic",1,5,9,1997,5,77,5,3,2,3,2,4
1,2,0,0,0,0,0,0,0,0,1,0,2,4,4,5,4,4,3,3,3,3,4,3,3,3,1,0,0,0,1,1,0,0,0,66,"White",1,2,14,1992,3,77,3,2,2,4,2,4
2,4,0,0,0,0,1,0,0,0,0,1,4,2,1,4,1,5,5,5,1,5,2,2,2,2,1,1,1,1,1,1,0,1,0,1,"White",1,3,2,1981,5,77,4,1,1,5,1,4
1,2,1,0,0,0,0,1,1,0,0,3,2,7,7,7,7,5,4,5,4,4,4,4,4,3,1,0,0,0,1,0,0,0,0,66,"White",2,5,21,1953,7,77,1,1,2,5,2,5
1,1,0,0,0,1,0,0,0,0,0,1,2,7,6,6,6,4,3,3,2,3,2,4,4,3,1,0,0,0,1,0,0,0,0,66,"White",1,2,16,1953,7,77,3,2,9,9,2,4
1,2,0,1,0,0,0,0,0,0,0,1,2,7,7,7,6,5,5,5,2,5,4,5,3,4,0,1,1,0,1,1,0,1,0,1,"White",2,3,13,1951,7,77,4,1,2,5,2,5
2,2,0,0,0,0,0,0,0,0,1,0,2,7,4,5,4,3,4,4,6,3,3,3,3,3,1,1,0,0,1,1,0,0,0,7,"Black",1,2,3,1953,6,77,2,2,1,3,2,2
1,2,0,0,0,0,0,0,0,0,1,0,1,2,3,3,2,5,2,5,4,3,3,2,3,2,1,0,0,0,1,0,0,0,0,66,"White",2,2,3,1950,1,77,4,1,1,4,2,2
1,1,0,0,0,0,0,0,0,0,1,0,2,7,7,4,4,5,5,5,4,3,1,3,3,5,0,0,0,0,1,0,1,0,0,66,"Hispanic",2,4,7,1961,4,77,3,2,2,1,2,5
1,2,0,0,0,0,1,1,0,1,0,3,2,7,7,7,7,4,4,4,2,5,5,5,5,4,1,0,0,0,1,0,0,0,0,66,"White",1,3,8,1963,7,77,2,2,2,5,2,5
1,1,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,5,5,5,2,2,3,2,3,3,0,0,0,0,0,0,0,0,1,66,"White",2,2,9,1959,3,77,3,2,1,3,2,3
1,2,0,0,0,0,0,0,0,1,0,1,2,7,7,7,7,5,3,4,3,1,4,4,4,2,1,0,1,0,1,0,0,0,0,66,"White",2,3,7,1946,7,77,5,2,2,5,2,5
1,4,0,0,0,0,0,0,1,0,0,1,2,7,7,7,7,4,3,3,1,3,5,5,4,4,1,1,1,1,1,1,1,0,0,2,"White",2,3,5,2000,7,77,3,4,2,4,2,4
1,1,0,0,0,0,0,0,0,0,1,0,1,3,4,2,2,4,2,5,3,4,3,2,2,3,1,1,1,0,1,0,0,0,0,2,"Hispanic",2,2,7,1965,3,77,1,1,1,2,2,3
1,1,0,0,0,0,0,0,0,0,1,0,2,3,3,2,3,4,2,3,1,1,3,2,4,3,1,0,0,0,1,0,0,0,0,66,"White",2,6,9,1951,5,77,4,3,1,2,2,4
3,4,0,0,0,0,0,0,0,1,0,1,1,2,3,1,3,4,2,4,7,2,1,5,4,4,0,1,0,0,0,0,0,0,0,1,"White",1,5,26,1964,5,77,3,3,1,4,2,4
1,1,0,0,0,1,0,0,0,0,0,1,2,7,4,1,3,5,3,3,2,1,1,5,5,2,1,0,0,0,0,0,0,0,0,66,"White",1,6,15,1956,7,77,2,2,2,3,2,3
1,2,0,0,0,1,0,0,0,1,0,2,2,7,7,7,3,4,5,5,3,2,5,5,5,2,1,1,1,0,1,1,0,0,0,1,"White",1,4,22,1951,7,77,1,1,2,5,2,5
1,2,0,0,0,0,0,0,0,0,1,0,2,7,6,4,6,4,3,5,5,2,1,4,4,3,1,0,0,0,0,0,0,0,0,66,"White",2,2,7,1950,7,77,3,1,2,5,2,3
1,2,0,0,0,1,0,0,0,0,0,1,2,7,6,6,6,5,3,3,2,2,4,3,4,3,1,1,1,1,1,0,0,0,0,4,"White",2,3,17,1969,7,77,3,2,2,5,2,5
1,2,0,0,0,1,0,0,0,1,0,2,2,7,7,7,7,5,5,4,5,4,3,3,3,2,1,0,0,0,1,0,0,0,0,66,"White",2,4,11,1950,7,77,1,1,2,4,2,4
1,2,0,0,0,1,0,0,0,0,0,1,2,7,7,7,7,5,2,5,2,5,3,4,5,3,1,1,1,1,1,0,0,0,0,1,"White",2,3,1,1966,7,77,4,1,2,4,2,3
1,2,0,1,0,1,0,0,1,0,0,3,2,7,7,7,7,5,3,5,5,3,4,4,3,3,1,1,0,0,0,0,0,0,0,2,"White",1,5,21,1953,7,77,2,1,2,4,2,5
1,2,0,1,0,1,0,1,1,0,0,4,2,5,5,6,5,4,5,5,1,5,4,5,5,3,0,1,1,1,1,0,0,0,0,1,"White",2,3,8,1982,5,77,2,1,2,3,2,3
3,4,0,0,0,1,0,0,0,0,0,1,1,2,3,3,3,4,2,3,3,3,3,2,4,2,1,0,1,0,1,1,0,0,0,66,"White",2,3,11,1971,4,77,3,3,2,2,2,3
1,1,0,0,0,1,1,0,0,1,0,3,1,2,2,1,2,5,4,4,4,2,4,4,4,2,1,0,1,0,1,0,0,0,0,66,"White",1,2,4,1952,2,77,4,2,1,5,1,4
1,2,1,1,1,1,0,1,1,0,0,6,2,7,7,7,7,5,5,5,1,3,5,5,3,2,1,1,1,1,1,0,0,0,0,4,"Hispanic",1,3,16,1981,7,77,2,2,2,2,2,4
1,1,1,0,1,0,1,0,1,1,0,5,1,1,1,1,2,1,4,3,3,2,3,5,4,5,1,1,1,1,1,1,1,1,0,1,"White",1,7,23,1978,2,77,1,1,2,4,2,5
1,1,0,1,0,0,1,0,1,1,0,4,1,1,1,1,3,2,2,3,1,4,9,5,4,5,1,1,0,0,1,0,0,0,0,3,"White",1,5,20,1984,1,77,2,1,1,1,2,1
1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,2,2,2,1,2,1,5,5,3,1,1,1,0,1,1,1,0,0,1,"White",1,6,21,1980,3,77,1,1,2,4,2,5
3,4,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,4,2,3,1,2,1,4,3,3,1,0,0,0,1,0,0,0,0,66,"White",1,2,14,1962,1,77,5,2,1,3,1,3
1,2,0,0,0,0,0,0,0,0,1,0,2,7,7,7,7,5,4,5,2,3,3,4,3,3,0,0,0,0,0,0,0,0,1,66,"Asian",2,3,5,1956,7,77,1,2,2,4,2,5
1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,4,1,3,7,1,3,2,1,4,1,0,0,0,1,0,0,0,0,66,"White",2,4,13,1953,2,77,4,3,2,4,2,5
1,1,1,0,0,0,0,0,0,0,0,1,2,6,6,6,6,4,3,3,4,5,4,3,3,3,0,0,1,0,0,0,0,0,0,66,"White",1,2,10,1990,6,77,4,4,2,2,2,4
1,4,0,0,0,0,0,0,0,0,1,0,3,3,5,5,5,4,2,2,6,2,4,3,3,3,1,0,0,0,0,0,0,0,0,66,"White",2,4,12,1951,5,77,3,2,1,2,2,2
1,2,0,0,0,0,0,0,0,0,1,0,2,6,6,6,3,4,2,2,4,2,3,3,3,3,1,0,0,0,1,0,0,0,0,66,"White",2,4,6,1938,5,77,3,3,2,3,2,3
1,1,0,0,0,0,1,1,0,1,0,3,1,2,2,4,5,2,2,2,3,2,2,2,1,3,1,1,1,0,1,1,1,1,0,3,"White",1,5,24,1991,4,77,2,2,2,3,2,2
1,1,0,0,0,1,1,0,0,1,0,3,1,1,1,1,1,4,3,3,6,2,3,4,1,2,1,1,1,1,1,0,0,0,0,5,"White",1,2,21,1965,2,77,5,1,1,3,2,2
1,4,0,0,0,0,0,0,0,0,1,0,2,7,3,1,7,3,3,1,4,3,3,3,1,1,1,1,1,0,0,0,1,0,0,1,"White",2,1,2,1979,1,77,1,1,2,2,2,1
1,2,0,0,0,1,0,1,0,1,0,3,2,6,5,5,3,4,4,4,2,4,3,3,4,3,1,1,1,1,1,1,0,0,0,2,"White",1,3,13,1976,7,77,1,1,1,4,1,3
1,1,0,1,0,0,0,0,1,0,0,2,1,1,1,1,1,2,2,2,7,2,1,3,1,2,0,0,0,0,0,0,0,0,1,66,"White",2,5,10,1952,1,77,4,3,1,5,2,5
3,4,0,0,0,0,0,0,0,0,1,0,1,1,1,4,1,3,3,4,1,3,4,4,5,2,1,0,0,1,1,0,0,0,0,66,"White",2,2,6,1988,1,77,2,1,1,2,2,2
1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,1,2,7,2,3,2,3,2,0,0,0,0,0,0,0,0,1,66,"White",2,4,5,1951,1,77,5,4,1,3,2,1
1,3,1,0,0,0,0,1,0,1,0,3,1,3,1,1,1,3,1,4,7,1,3,3,5,2,0,0,0,0,0,0,0,1,0,66,"White",1,6,18,1945,4,77,3,1,1,5,2,5
